iter	Passed	Remaining
1435	4004	23879
1436	4007	23878
1437	4010	23878
1438	4013	23874
1439	4015	23872
1440	4018	23869
1441	4021	23867
1442	4024	23865
1443	4027	23862
1444	4030	23860
1445	4033	23858
1446	4035	23854
1447	4038	23851
1448	4041	23849
1449	4044	23845
1450	4046	23842
1451	4049	23839
1452	4052	23835
1453	4054	23832
1454	4058	23832
1455	4060	23829
1456	4063	23826
1457	4066	23824
1458	4069	23821
1459	4072	23819
1460	4074	23816
1461	4077	23812
1462	4080	23808
1463	4082	23804
1464	4085	23801
1465	4088	23800
1466	4091	23797
1467	4093	23793
1468	4096	23791
1469	4099	23787
1470	4102	23785
1471	4105	23783
1472	4107	23779
1473	4110	23776
1474	4113	23773
1475	4115	23769
1476	4118	23766
1477	4121	23765
1478	4124	23762
1479	4127	23758
1480	4129	23754
1481	4132	23750
1482	4134	23746
1483	4137	23745
1484	4140	23742
1485	4143	23739
1486	4145	23735
1487	4148	23732
1488	4151	23729
1489	4154	23727
1490	4157	23725
1491	4159	23721
1492	4162	23718
1493	4165	23715
1494	4168	23712
1495	4170	23709
1496	4173	23705
1497	4176	23703
1498	4179	23699
1499	4181	23697
1500	4184	23696
1501	4188	23695
1502	4190	23691
1503	4193	23688
1504	4196	23684
1505	4199	23682
1506	4201	23680
1507	4204	23678
1508	4207	23674
1509	4209	23670
1510	4212	23666
1511	4215	23663
1512	4217	23659
1513	4220	23656
1514	4223	23653
1515	4226	23651
1516	4228	23646
1517	4231	23643
1518	4234	23640
1519	4237	23638
1520	4239	23635
1521	4242	23631
1522	4245	23628
1523	4247	23625
1524	4250	23623
1525	4253	23619
1526	4256	23616
1527	4258	23613
1528	4261	23609
1529	4264	23607
1530	4267	23607
1531	4271	23607
1532	4273	23605
1533	4276	23602
1534	4279	23599
1535	4282	23597
1536	4285	23595
1537	4287	23591
1538	4290	23587
1539	4293	23584
1540	4295	23580
1541	4298	23577
1542	4301	23575
1543	4304	23572
1544	4306	23569
1545	4309	23565
1546	4312	23563
1547	4315	23560
1548	4318	23559
1549	4320	23556
1550	4323	23553
1551	4326	23549
1552	4328	23546
1553	4331	23544
1554	4335	23543
1555	4338	23541
1556	4340	23538
1557	4343	23535
1558	4346	23531
1559	4348	23528
1560	4351	23525
1561	4354	23522
1562	4356	23518
1563	4359	23515
1564	4362	23512
1565	4365	23510
1566	4368	23508
1567	4371	23505
1568	4374	23504
1569	4376	23501
1570	4379	23499
1571	4383	23498
1572	4386	23497
1573	4388	23495
1574	4391	23491
1575	4394	23487
1576	4396	23484
1577	4399	23482
1578	4402	23479
1579	4405	23475
1580	4407	23472
1581	4410	23469
1582	4413	23466
1583	4416	23463
1584	4418	23460
1585	4421	23457
1586	4424	23454
1587	4427	23451
1588	4429	23448
1589	4432	23445
1590	4435	23443
1591	4438	23440
1592	4440	23436
1593	4443	23432
1594	4446	23430
1595	4449	23428
1596	4451	23425
1597	4454	23422
1598	4457	23419
1599	4460	23415
1600	4462	23411
1601	4465	23408
1602	4467	23404
1603	4470	23401
1604	4473	23400
1605	4476	23397
1606	4479	23394
1607	4482	23392
1608	4484	23388
1609	4487	23385
1610	4490	23383
1611	4493	23379
1612	4495	23377
1613	4498	23374
1614	4501	23370
1615	4504	23367
1616	4507	23365
1617	4509	23363
1618	4512	23360
1619	4515	23357
1620	4518	23353
1621	4520	23350
1622	4523	23347
1623	4526	23344
1624	4529	23342
1625	4532	23340
1626	4534	23336
1627	4537	23333
1628	4539	23329
1629	4542	23326
1630	4545	23324
1631	4548	23322
1632	4551	23319
1633	4553	23315
1634	4556	23312
1635	4559	23311
1636	4562	23309
1637	4565	23305
1638	4567	23302
1639	4570	23299
1640	4573	23296
1641	4576	23293
1642	4579	23291
1643	4581	23287
1644	4584	23284
1645	4587	23283
1646	4590	23280
1647	4593	23277
1648	4595	23274
1649	4598	23271
1650	4601	23269
1651	4604	23265
1652	4606	23262
1653	4609	23258
1654	4612	23255
1655	4614	23252
1656	4617	23248
1657	4620	23245
1658	4622	23241
1659	4625	23240
1660	4628	23239
1661	4631	23235
1662	4634	23232
1663	4636	23228
1664	4639	23225
1665	4642	23223
1666	4645	23219
1667	4647	23215
1668	4650	23212
1669	4652	23208
1670	4655	23207
1671	4658	23205
1672	4661	23202
1673	4664	23199
1674	4667	23195
1675	4669	23192
1676	4672	23189
1677	4675	23188
1678	4678	23187
1679	4681	23185
1680	4684	23182
1681	4687	23180
1682	4690	23177
1683	4693	23176
1684	4696	23173
1685	4698	23170
1686	4701	23166
1687	4704	23163
1688	4706	23160
1689	4709	23157
1690	4712	23154
1691	4715	23152
1692	4717	23149
1693	4720	23147
1694	4723	23144
1695	4726	23141
1696	4729	23138
1697	4731	23135
1698	4734	23133
1699	4737	23129
